H3,H
1.0856209334044238, 237.44680906702342
1.3161256692062417, 238.48104542860347
1.3921507907999942, 3776.151159985644
1.5955723806021052, 238.48104542860347
2.0189134161940623, 3695.933202190594
2.447579711479281, 3661.2862840776634
2.8429810288419834, 247.78917268282294
2.9927635225643745, 3622.9161150630453
3.4466176857805735, 247.78917268282294
3.597287475575585, 3581.6500842360024
4.178421646652398, 248.30629086361296
4.3610824371930415, 3545.968929761492
5.065606066272836, 256.0630635754633
5.287050354781676, 3508.5640480176817
6.14116213934952, 257.0972999370433
7.445085924245387, 257.0972999370433
9.025865652403688, 262.78559992573355
9.420433720157835, 3393.9361846092297
10.942284831118041, 266.4054271912637
13.2656081905484, 266.9225453720537
13.845517707585609, 3318.4369302138884
16.08223176248323, 273.645081722324
16.785270712548627, 3279.997812108498
19.49689563773646, 275.7135544454841
20.349207508447396, 3241.5586940031076
23.636578873061357, 279.3333817110142
24.669858074572453, 3201.568221355347
28.65522138514725, 284.5045635189135
29.907891851164386, 3162.784357796096
34.73944842193867, 285.53879988049357
36.25809245748761, 3124.8623578714955
42.1155104837567, 291.2270998691838
43.95660099341099, 3082.631039773645
51.057696764905536, 294.32980895392393
53.28969727680552, 3043.6748034874645
61.89853498136944, 296.91539985787404
75.04115687947242, 303.1208180273543
78.48933614725121, 2964.36611182697
90.97428925425302, 305.1892907505144
94.95125400298016, 2920.6006764594426
110.29042793955769, 311.91182710078465
115.11180272174262, 2877.3351220000122
133.7078705951207, 313.9802998239438
139.5529449819954, 2832.8629584520713
162.09742761066377, 320.7028361742141
169.18355887644688, 2786.8394403617604
196.51480440937658, 322.7713088973742
248.65457683162342, 2688.4146132847295
288.8241969614069, 331.56231797080454
301.45022195496017, 2634.7032715733403
350.1488667105302, 337.25061795949387
365.4557156139905, 2576.5102389617714
424.4943122790063, 340.8704452250249
443.0511916985381, 2512.301398180346
537.1221466209848, 2444.7657637691705
651.1667405400776, 2378.0058066291813
756.3613480230393, 364.657881541365
789.4258813438836, 2313.4177458485087
916.955960131361, 368.27770880689513
957.0409287468998, 2253.4837486949473
1160.2448829489763, 2199.8068815289444
1347.679985891585, 383.79125423059486
1406.594167473997, 2149.1292998115237
1705.249625357645, 2104.0710689920206
2067.317177920934, 2056.823704540507
2401.287888546915, 398.44293601964546
2506.2608140028847, 2011.6792873575391
2911.141939166456, 400.1666632889446
3038.403267235198, 1967.4656828999937
3683.5329997442564, 1916.94323663681
4278.599952545394, 412.92224508176514
4465.640063819286, 1861.2496085657262
5379.173608150502, 1789.215045981678
7623.583011947448, 432.40036322485594
7542.470587083743, 1526.4931542313147
8304.685695831036, 1435.5062103213131
9242.262178828914, 436.0201904903861
10176.252148079946, 1225.1425343759374
11325.123405650354, 1126.6315209354411
13154.673100349739, 1040.7252631517013
13583.653200734041, 448.2586541024166
15778.063599291472, 965.0320894385636
16467.805758883234, 457.22203590277604
19128.14489333379, 894.7040168511226
19964.336729213104, 459.80762680672615
28113.25642759041, 783.0064898004812
27518.20725169788, 466.5301631569964
34082.41061942133, 729.2261989983203
41318.96696573495, 677.5143809193196
43125.23636804166, 491.35183583491744
50092.02694549572, 623.7340901171592
52731.126058500246, 517.0112399657173
61216.978092926816, 560.7749516059757
9188.302698631098, 1325.9668508287295
6660.846290809161, 1650.0920810313073

