H+,H
1.099801256327284, 1608.6100035632257
1.390402431152321, 1624.6606481951085
1.7577893364207866, 1640.7112928269903
2.222251113782852, 1655.9171666887742
2.8094379174951087, 1670.7006551655077
3.5517774581394668, 1686.3289144123405
4.490265840576139, 1700.2676321189751
5.676731596130657, 1715.895891365808
7.176697941423732, 1731.101765227591
9.073001333644564, 1746.7300244744238
11.470366158950437, 1763.2030544913555
14.50118819364759, 1779.2536991232378
18.33284623294236, 1796.5714999102688
23.176945675937002, 1813.46691531225
29.30100454887854, 1831.62948686938
37.04322733365044, 1848.947287656411
46.83118249422015, 1867.9546299836402
59.2054151775989, 1887.3843576959184
74.84929911356554, 1907.658856178296
94.62677630055276, 1927.933354660674
119.63006867237328, 1950.3197800682988
151.2399966485293, 3779.670882717831
151.2399966485293, 1973.1285908609739
191.20223569285196, 3710.3996795697076
193.4798352342491, 2000.0673920852441
241.72372219039195, 3650.843340277723
241.72372219039195, 2024.6596078370167
305.59453270954714, 3596.778010991383
305.59453270954714, 2054.226584790484
386.34196749796064, 3546.936535555538
386.34196749796064, 2085.9054886691997
488.42534755705145, 3497.9398308897917
488.42534755705145, 2120.963475628311
617.48228306956, 3449.3655116090954
617.48228306956, 2159.8229310528677
780.6400134879543, 3403.325504638696
780.6400134879543, 2202.483854942871
986.9090132094129, 3355.595956128099
986.9090132094129, 2248.52386191327
1247.6805999248286, 3308.7111783876007
1247.6805999248286, 2297.5205665790163
1577.3560263335658, 3260.136859106904
1577.3560263335658, 2347.784427399911
1994.1417971560343, 3209.45061290096
1831.1684133036201, 2376.9290189683284
2521.0551332586474, 3157.4972105398674
2521.0551332586474, 2453.099183405595
3187.195110194295, 3103.0094958684776
3187.195110194295, 2503.433441790664
4029.34967047555, 3041.3412296512456
4046.5633602793832, 2566.030955855005
5094.027257707372, 2967.8461726526266
5094.027257707361, 2628.3620422149306
6105.837319652453, 2891.1128277019616
6237.379463509072, 2714.555736751256
6649.254824021081, 2799.736789402912
