CO,H
25.612425267988314, 1847.2046146044631
44.27175725761034, 1790.6313387423943
73.48474358421399, 1733.107251521299
119.5266613185732, 1678.9110040567957
202.4594385582733, 1620.4361054766741
329.3105420660638, 1561.9612068965525
535.6402936217333, 1497.0683316430031
819.84621192919, 1433.1262677484792
1306.7640646779757, 1367.2825811359035
2125.5180077351406, 1302.389705882354
3124.052400964244, 1233.4558823529414
4781.64648421234, 1163.3335446247474
7468.604063867895, 1092.735801217039
11665.447633361053, 1022.1380578093313
17496.764502484737, 952.2534229208932
26243.036502081122, 882.1310851926992
40989.82426133132, 811.0579361054779
64023.295964306024, 744.7388438133885
104137.13704334508, 685.5508367139964
172852.65567155488, 634.4447261663299
571534.2398635945, 552.1995436105481
1028783.3896043254, 514.6424949290076
