H+,H
6.840739150193777, 709.4063926940644
27.792478139087684, 749.4266869609341
46.054569524155276, 770.0253678335876
54.746500520522616, 779.0887874175546
67.04644536284222, 789.4469812278035
71.76340393507593, 3890.1790244256
75.09099841720673, 3829.980430528376
80.89604187293443, 801.8061897513958
79.8034778107841, 3755.8924403855913
86.02851459313902, 3666.4353120243536
99.07102737042887, 815.3424657534251
113.64848124757614, 825.9360730593612
140.26766767974763, 845.3576864535771
166.74054325085245, 859.1293759512942
208.88296828455398, 883.0238457635724
207.53478960925426, 2705.7128361237956
228.70345593396166, 2622.1410451547445
244.00231085188798, 900.6798579401325
253.66857350026427, 2537.7845425334012
281.35886674243983, 2454.997463216642
294.0241683920759, 925.51598173516
316.13951877600095, 2371.4256722475902
345.39107501834724, 947.5663791645534
353.253586707077, 2286.0042038124234
393.99518021816505, 2207.0285810925084
420.35103512164517, 986.801961779131
442.6995605873557, 2125.418569254186
481.5780309416837, 1018.3866057838663
497.4246152851848, 2043.0238457635724
551.7231563817971, 1961.4138339252495
562.5453974074063, 1074.2973110096405
619.9253472107057, 1877.0573313039072
652.8845081295507, 1147.6678504989013
687.5959869579035, 1791.6358628687403
752.8405967947178, 1224.6676813800104
752.8405967947178, 1708.7366818873675
813.6703390897856, 1626.5773718924406
856.9302118496541, 1553.8869158351663
865.854360617915, 1340.7853881278543
879.4151425059457, 1494.9027566379173
893.7668497420176, 1430.3602232369358
879.4151425059457, 1386.6125486216815
95.1002849415164, 3531.2024353120246
110.569759162807, 3330.2891933028923
176.71472014446263, 2849.315068493151
142.14358766808664, 3068.4931506849316
824.8284578544024, 1284.6270928462714
18.426996164834375, 736.681887366819
9.916619195386764, 718.4170471841708
3.630780547701014, 694.0639269406392
1.6805620239098726, 681.8873668188744

