Hn,H
18369.917108758167, 348.92245077077405
56541.03392557716, 3784.1163980836236
76307.19549902443, 3718.88837470964
105588.6857553173, 361.852134146342
182945.01757473743, 3528.732858858621
253146.82114672806, 3466.3136977351915
591939.6433300957, 3276.0244265389083
798875.6298066109, 3213.739020760743
1868031.181393892, 3026.392367160279
2521075.5916583356, 2963.616525116144
3488492.227661753, 379.54416833354844
5749640.228418435, 2773.1637751645376
20051549.901160516, 2446.2062645180026
43501322.379210435, 2221.2186275043555
57260358.13928309, 2143.7705671699578
89775261.68384297, 420.7044860627184
109637176.86651433, 1925.6431993529122
137280595.33076072, 1852.7783826945415
250041817.36069635, 1627.1777003484326
313086222.44673425, 1548.7078977932642
490870096.9245034, 446.11800166297144
455424237.3323293, 1304.7158554732873
529074722.64995927, 1222.5677809233453
714033782.0490394, 456.2611153455291
829506192.7602851, 978.9844354916768
1064930064.6525784, 892.749392058653
1473577494.398001, 670.1730666860244
9393760.99323138, 2640.625
