H3,H
1.4840291247091069, 3958.1126331811265
1.7790240458379334, 3886.846547668466
1.9227697135208353, 3866.301369863014
2.3199508701052767, 663.422289869779
3.3555962236112875, 668.0782456733755
4.048752340931144, 3590.867579908676
4.578798323696699, 671.7402333840696
5.013271351197572, 3515.5352612886863
6.411827327904841, 3425.4360961210277
8.307429543768036, 3331.4847101148475
10.76345043234674, 3234.1091278077583
13.766138074330266, 3142.939901296066
17.606487684656656, 3048.560490752272
22.518182435493838, 2951.3989207139894
28.800096264519155, 2852.7392647940596
29.365020139346882, 697.6357179096908
36.36053820917842, 2753.865596605323
45.609419575578436, 2652.9802130898024
56.84164875969968, 2548.456621004567
59.477336957253875, 707.0522577371898
69.92855360882207, 2442.7559614408933
81.15837323977307, 711.7605276509389
85.47326679196757, 2332.974801285304
103.79918400043724, 2221.0226055583744
116.63049563417235, 716.4687975646884
124.43235863806295, 2111.42454478832
151.11130970712458, 1997.3797846552798
183.51036797286565, 1887.5201533344612
183.51036797286565, 723.5312024353125
225.76077373855892, 1778.4452336659342
240.862781311992, 727.811447811448
279.5429119646816, 1676.2496194824967
355.21963991777056, 1573.5879341358796
454.3155227552563, 1480.0645726673124
469.6027589199986, 734.9967115771278
588.6300430306056, 1391.8915179189157
714.8354150711017, 749.9260489214826
762.6535088585721, 1314.157506060094
1027.2705751542137, 1226.888058668881
1091.738907165807, 762.2174868932862
1365.8977254344504, 1141.2831511461654
1495.5050324334966, 781.0291653214035
1769.7137707773486, 1047.3317651399848
1988.4799307816602, 812.0324093292134
2149.149695753627, 946.16510835689
39.81071705534971, 700.1522070015226
19.703594200718957, 694.0639269406392
12.74836664783688, 687.9756468797568
6.52447324492195, 681.8873668188744
1.4946704708140486, 657.5342465753429
