H3,H
20.539674604152168, 509.418621344641
22.16561377358041, 516.1920084592275
25.917526162244055, 533.660217333686
32.183110457046205, 548.4385164927826
34.77720520869707, 556.4758370880818
39.96340515705904, 572.6369010807775
46.915640430843744, 588.6251194692759
51.2422261509467, 600.2921977527731
59.91585662571378, 618.7434660011195
70.62172396978849, 639.700995510364
77.1344975278335, 651.3680737938621
90.19084145876346, 670.0786104485087
105.45719676341395, 693.6288240207532
115.18251645229768, 707.1107811483507
124.30046835477059, 5437.592488294019
135.22024723764602, 730.4449377153451
139.06933540298056, 5344.713902877169
148.28371037136208, 5293.252004986699
158.74384260898285, 755.5939731264407
161.31041373474898, 5213.143828960156
173.38328558107025, 770.3722722855373
179.03513213286817, 5118.437881405569
190.133633294976, 5061.926971365747
202.46061551110895, 800.7930986247302
207.66785973142325, 4972.724235798216
226.81910200771165, 4878.728635664223
238.95578812699833, 830.5225425471244
239.9158462933433, 4820.144778690697
259.94802092923277, 849.0861604382007
260.99242007216355, 4726.347230811517
283.92056793046777, 4626.865583219218
299.11265177737647, 4569.26802647466
301.5209836454352, 883.8799805636536
322.7906791059142, 4475.771518022793
351.14779543816735, 920.747947939506
351.14779543816735, 4374.425349917332
368.45673139340914, 4317.820883764762
383.5308349413347, 943.0450308813015
397.6240986160097, 4221.472422843597
436.03807773127033, 4109.057963012045
446.6555048473108, 982.5575360014136
455.70058515392407, 4057.4851558588807
489.8063483063495, 3965.5096887239747
520.1697538632626, 1023.4182368342845
532.8357679837432, 3858.2219529741396
568.1400897347661, 1044.41897774458
559.1005496583207, 3801.9977471508087
603.359453504564, 3707.883315663928
651.121932102914, 3607.1143284153486
656.3644977040593, 1088.0797773654913
685.9623068569234, 3546.3518966388865
737.3014289281651, 3451.207593426981
764.3943833895415, 1140.348288075561
795.6668751230792, 3345.8890629535676
828.2187702123673, 1173.1313376721537
834.8872466080479, 3287.5625607385814
893.7813151551071, 3190.253942486085
937.8379879948344, 1239.5184534852897
964.5338502960466, 3081.064905090051
1008.0281113695829, 3022.3452408560825
1040.887219940897, 1329.5926189739967
1074.8174504421686, 2921.457422254616
1096.583240964603, 1386.5841358188281
1146.0320786147693, 2817.7889499955836
1173.937696698965, 1485.261691256589
1192.9179263965514, 2747.060528756957
1236.7530117333656, 2648.2245315153473
1246.7108375671294, 1594.8717311599958
1277.0679603246622, 2536.9983852126707
1292.5226027739502, 1665.1723595282265
1297.7156005653203, 2467.9177587340846
1313.4201137397836, 2357.483821450658
1318.697071941639, 2250.007464505764
1327.1843393069562, 2162.2771814353455
1329.314677595564, 1768.55563654033
1340.0177718368413, 2058.8210211934693
1350.8070429843608, 1937.8559853474826
1350.8070429843608, 1881.049317273807

