H+,H
6.293420219949858, 624.2097082339424
7.155020157588614, 635.6175181111403
8.134577330974308, 647.7383161056623
9.248240661267705, 660.5721022175103
10.514369935737163, 674.1188764466824
11.953838486116947, 687.6656506758545
13.535993432943487, 704.2069749977918
15.327555113738793, 719.7501159554731
17.425972201523418, 735.4358545366194
19.811672828113217, 752.5475693524158
22.523987511806457, 770.3722722855373
25.505158648211854, 789.7655490767738
28.99693932274962, 808.5884353741494
32.83484051621138, 828.8372979061751
37.33009040457365, 851.65291766057
42.101775780855256, 873.7555492976408
47.865714326111835, 897.9971452866857
53.984106395347034, 925.09069374503
60.884576451715894, 956.4621709073235
68.66709291356064, 991.3985886562414
77.44440257277493, 1029.8999469917835
86.99414559917307, 1069.8272815619748
97.33042982506831, 1112.6065686014663
109.33233780808693, 1148.9689625850333
122.81421249310941, 1191.3204567541297
137.95854998343378, 1232.388572312041
154.97035015063486, 1273.4566878699534
158.74384260898285, 5416.202844774274
163.9184811934456, 5325.891016579792
168.58447389003078, 5239.38179167771
173.38328558107025, 5155.724519244927
174.07989159565804, 1316.521170156374
179.03513213286817, 5059.708786111847
184.87121426041966, 4969.396957917366
190.89753756686025, 4882.8877330152845
194.76334362743353, 1361.4394215478396
198.7074349120509, 4792.575904820803
205.18478321618812, 4707.017330741821
213.5791926681821, 4617.656153370439
216.16385547379758, 1413.4875541125539
223.2102379269186, 4531.384591174132
233.27558126318385, 4445.588354389374
237.99957177309304, 1474.804532202491
244.77430672426132, 4359.079129487292
256.8398325615864, 4273.520555408311
264.1508616426223, 1531.1305934711545
269.50009775566514, 4190.813933798629
285.0612821268951, 4107.156661365845
293.17564391697056, 1585.317690387843
301.5209836454352, 4025.400690579262
320.2124602708455, 3942.456406263804
325.38965669707835, 1638.0788110698822
340.0626333631296, 3861.888749006096
361.1433312496717, 3783.460056100362
361.1433312496717, 1690.1269436345965
385.07175559873616, 3702.179410725329
400.82560407729585, 1747.8789811379092
410.5856155416066, 3621.611753467621
436.03807773127033, 3540.5687707983625
441.3148623621365, 1805.631018641223
464.92883454020887, 3460.714101657979
482.01315751553557, 1872.6519016697584
495.73381827477755, 3380.8594325175955
520.1697538632626, 1948.2286421061926
526.4646714468556, 3299.3411244367876
550.2048355259856, 2031.8859145389752
554.6348582330942, 3213.544887652031
568.1400897347661, 2120.2964410872573
572.7145197212594, 3128.936964396148
572.7145197212594, 2484.3957063344815
572.7145197212594, 2393.133227316901
577.3257811338032, 2573.7568837058634
575.0155280205457, 2301.8707482993195
577.3257811338032, 2213.4602217510383
586.659986830638, 3035.773183732367
586.659986830638, 2665.019362723444
589.017024153899, 2946.4120063609857
591.3835314002295, 2852.2975748741055
593.7595466171573, 2758.183143387225
5.553263571014871, 612.2448979591836

