T,H
179.54874123250994, 531.5335500226156
190.2672110228081, 548.5487507853304
203.61605123731994, 552.0159992426379
215.2962864250178, 558.3003870715092
226.76794598436396, 565.5960557004291
239.8039227563482, 576.3918065788648
251.2755823156943, 586.1106090728344
262.6429540608645, 598.8238534162983
273.8017501776831, 610.9592230168755
286.5016884373229, 625.919758027113
296.35109310948866, 637.7982944086307
308.3731605769853, 653.649719647482
319.6420382754339, 667.3341146005159
343.16473413954765, 701.0434746021219
354.40464300072523, 722.5532566983848
365.54523013411614, 741.7240219782097
377.2320867703332, 763.9676132717877
388.9354970278478, 792.8321648229467
400.40715658719404, 819.5720051982471
411.87881614654015, 850.882309449089
423.35047570588625, 883.1907609830969
435.4015120106539, 922.8831675650754
447.545248594689, 966.9300646338406
459.0169081540352, 1014.315793550385
470.2799920850295, 1072.1382905505443
480.7087735026169, 1127.9216874478625
490.6161158493249, 1190.1823403016233
501.0448972669123, 1259.9125592763758
510.430800542741, 1327.3553573938752
519.2952647476902, 1401.2885449847008
528.1597289526394, 1471.3424808293084
535.98131501583, 1534.7883119751905
543.8029010790206, 1600.5215639783228
551.4506741185846, 1662.482578076515
558.9246341345222, 1724.3862633311646
566.2247811268335, 1790.4290910894133
573.0034890482652, 1850.9339525616851
579.782196969697, 1914.1218039116357
586.7347179147553, 1981.0360300916955
594.3824909543193, 2050.4727253875226
601.1611988757513, 2115.2313870504713
607.9399067971831, 2186.8236468634077
614.7186147186148, 2252.9582007713216
620.454444498288, 2316.4602141838714
626.190274277961, 2379.6893423011707
631.9261040576341, 2443.111095332765
637.1404947664278, 2514.96018836476
641.8334464043421, 2579.41730031069
646.0049589713769, 2638.5772271135083
649.6550324675327, 2700.265355916449
652.7836668928087, 2755.7734353857613
656.5380282031404, 2831.4594332582114
659.0409357433612, 2916.310249374365
662.1695701686374, 3067.890004848255
663.2124483103962, 3151.874467480829
664.4639020805068, 3238.7620627502765
666.3410827356724, 3387.3412265532756
665.8196436647931, 3318.4262237336643
667.6446804128709, 3550.126477785523
666.8625218065517, 3463.926828638558
668.6354146475417, 3748.878698877988
668.4268390191899, 3652.2176823618174
669.6782927893005, 5429.168757809769
669.4697171609487, 5233.31049673921
669.4697171609487, 5045.056333475816
669.4697171609487, 4976.802905510659
669.4697171609487, 4911.640648789186
669.4697171609487, 4838.546373275499
669.4697171609487, 4770.042991552506
669.4697171609487, 4697.6251963925915
669.208997625509, 4619.653382870509
669.7304366963883, 4510.774443219061
669.208997625509, 4417.099112874461
669.6782927893005, 4314.0631289566245
669.4697171609487, 4217.4021124404535
669.4697171609487, 4151.85460589039
669.4697171609487, 4085.0619168586363
669.4697171609487, 4020.915527244695
669.4697171609487, 3952.873069423765
669.991156231828, 5315.327433461486
669.991156231828, 5116.235825615264
669.4697171609487, 4563.952678486901
669.7761194029852, 5534.592445328032
669.7761194029852, 5679.324055666004
