T,P
53.55173889919445, 0.03983955361725343
52.872561028718195, 0.1116214794258318
53.55173889919445, 0.16988807417579804
54.91009464014692, 0.230196309454198
55.58927251062315, 0.02766890088615842
57.28721718681376, 0.31899624560142525
57.626806122051875, 0.02004590140550841
59.6643397334806, 0.014990856644561817
60.343517603956826, 0.4604056729088651
62.04146228014744, 0.010689971417591572
65.0977626972905, 0.6160922452530774
64.7581737620524, 0.00730752649320643
67.27113188281447, 0.005139900525479773
67.98426864681454, 0.0033743910895227464
68.90115877195748, 0.0020825244959020357
71.5499524668148, 0.8328885840897483
71.88954140205291, 0.0014281068127856486
76.64378649538659, 0.0009918320430352713
78.34173117157718, 1.0956529339477774
83.09597626491086, 0.0008058665211143391
85.13350987633959, 1.3875175595847609
89.88775496967327, 0.0006599786514027078
91.925288581102, 1.7294992601878771
96.67953367443567, 0.0005430774097353789
95.66076686872131, 1.9355030733967697
103.47131237919808, 0.0004447628572394562
110.26309108396046, 0.0003596569141117934
117.05486978872287, 0.00029361515595950453
123.84664849348528, 0.0002381853738520386
130.63842719824765, 0.00019641052287453544
137.43020590301006, 0.00016673790024536618
144.22198460777247, 0.00014229788139206206
151.01376331253485, 0.00012144021856381807
157.80554201729726, 0.00010331180001018498
164.59732072205966, 0.00008367547558290995
171.38909942682207, 0.00006607432078144477
178.18087813158448, 0.00005259070832083116
187.01019044777556, 0.000040940044251104027
193.80196915253796, 0.00003417239271076468
200.59374785730037, 0.000028614040495059618
207.38552656206278, 0.000023808363820906727
214.1773052668252, 0.000019904212073457958
220.9690839715876, 0.000016535106420895764
227.76086267634994, 0.000013758065015462103
234.55264138111235, 0.000011411191734382899
241.34442008587476, 0.00000953995755443717
248.13619879063717, 0.00000816746470463738
254.92797749539957, 0.00000700352122618973
261.719756200162, 0.000005986443861836823
268.51153490492436, 0.000005125187263029699
275.3033136096867, 0.000004298351189551949
282.0950923144492, 0.000003587806206491605
288.8868710192115, 0.000003004227212004311
295.678649723974, 0.000002507609211443614
302.47042842873634, 0.000002096405528636167
309.2622071334988, 0.0000017778125458729022
316.05398583826116, 0.0000015244568971492203
322.8457645430235, 0.0000013051366140949086
329.63754324778597, 0.0000011173694609775432
336.4293219525483, 9.581334013000599e-7
343.2211006573108, 8.176926355395791e-7
350.01287936207314, 6.978373213045638e-7
356.8046580668356, 5.955500952802169e-7
363.59643677159795, 5.082558716195105e-7
370.3882154763603, 4.399889210237396e-7
377.17999418112277, 3.827067783700892e-7
383.9717728858851, 3.339391101598436e-7
390.7635515906476, 2.904635887733014e-7
397.55533029540993, 2.5304891014043856e-7
404.3471090001724, 2.2080332164250135e-7
411.13888770493475, 1.9023913478318397e-7
417.9306664096972, 1.6235436453061812e-7
424.72244511445956, 1.3855687323316615e-7
431.5142238192219, 1.1824755789999842e-7
438.3060025239844, 1.0091513053837074e-7
445.0977812287467, 8.680848703698413e-8
451.8895599335092, 7.373288315446198e-8
458.68133863827154, 6.352658008961062e-8
465.473117343034, 5.4387149809370945e-8
472.26489604779636, 4.641521922392851e-8
479.0566747525587, 3.9800597224308996e-8
485.84845345732117, 3.4074572260736966e-8
492.6402321620835, 2.9311383224760977e-8
499.432010866846, 2.5014994955654842e-8
506.22378957160834, 2.1382224479618147e-8
513.0155682763708, 1.8364132874309583e-8
519.8073469811332, 1.5672364817903458e-8
526.5991256858955, 1.337514930144465e-8
533.390904390658, 1.1414653813544026e-8
540.1826830954203, 9.787954177184589e-9
546.9744618001828, 8.527165650956049e-9
553.7662405049451, 7.476027802689555e-9
560.5580192097076, 6.564860088810909e-9
567.34979791447, 5.728311230122482e-9
574.1415766192323, 5.006291068699308e-9
580.9333553239948, 4.361429617152114e-9
587.7251340287571, 3.787607107198876e-9
594.5169127335196, 3.2997246042597784e-9
601.3086914382819, 2.8701335703328743e-9
608.1004701430444, 2.488569670592934e-9
614.8922488478067, 2.1714555067664554e-9
621.6840275525691, 1.9037816790939575e-9
628.4758062573316, 1.6904028748574494e-9
635.2675849620939, 1.5057054420530376e-9
642.0593636668564, 1.3369436400639644e-9
648.8511423716187, 1.1889799691906292e-9
655.6429210763812, 1.0590691939360087e-9
662.4346997811435, 9.25579709924914e-10
669.2264784859059, 7.899105817452291e-10
676.0182571906684, 6.741274905471957e-10
682.8100358954307, 5.753155914273258e-10
689.6018146001932, 4.941100480777513e-10
696.3935933049555, 4.3803458975235573e-10
703.185372009718, 3.926554587490897e-10
709.9771507144803, 3.5030779058622934e-10
716.7689294192427, 3.125272943774922e-10
723.5607081240051, 2.8015036030552667e-10
730.3524868287675, 2.4954046658298815e-10
737.14426553353, 2.233345207463644e-10
743.9360442382923, 1.9893246059136399e-10
750.7278229430548, 1.7441019291934862e-10
757.5196016478171, 1.5266859596237447e-10
764.3113803525795, 1.336372593997455e-10
771.1031590573419, 1.1716388629505785e-10
777.8949377621043, 1.023960629877482e-10
784.6867164668668, 8.934790834808063e-11
791.4784951716291, 7.808612653897202e-11
798.2702738763915, 6.824382652704075e-11
805.0620525811539, 5.945332425111237e-11
811.8538312859163, 5.195958010061938e-11
818.6456099906787, 4.39934422109977e-11
825.4373886954411, 3.6896069344467717e-11
832.2291674002036, 3.079691275831379e-11
839.0209461049659, 2.5828509241820903e-11
845.8127248097283, 2.1593089275586055e-11
852.6045035144907, 1.743356974420217e-11
859.3962822192531, 1.3832029877647371e-11
865.8484719887774, 1.1055995542180363e-11

