T,P
109.92350214872235, 0.11644048688214291
112.30062469538919, 0.21209632561105846
112.30062469538919, 0.0724719527246588
116.0361029830085, 0.050417921149671564
118.41322552967534, 0.2889103750003776
121.80911488205655, 0.03739212149317653
125.20500423443775, 0.3904373320465931
128.60089358681896, 0.027494034411789377
131.99678293920013, 0.5111782374270217
135.39267229158133, 0.02018405768556038
138.78856164396254, 0.590490642382284
142.18445099634374, 0.014982938542043656
145.58034034872495, 0.677797944390359
148.636640765868, 0.011309711549397935
152.37211905348735, 0.7767819335666899
153.05129692396358, 0.008004810174875353
155.76800840586853, 0.005853291420031724
157.12636414682103, 0.003917562035833887
159.16389775824976, 0.8902213075584359
158.14513095253537, 0.0029296567755853595
159.84307562872598, 0.00002112871947443875
159.77515784167835, 0.0020368220758777774
160.1826645639641, 0.00004057397965401736
160.40905718745617, 0.00006991722393331567
160.86184243444032, 0.00011397987664022554
161.20143136967843, 0.0014224591184921903
161.5410203049166, 0.000013809041293295107
161.8806092401547, 0.00017074960675519227
162.22019817539282, 0.000255794523265551
162.22019817539282, 0.0003692844857997
162.22019817539282, 0.0005070290591009938
162.22019817539282, 0.0006961529028659994
162.22019817539282, 0.0009507840696131657
161.5410203049166, 0.0011439062673174426
163.57855391634527, 0.000010110817470926954
165.9556764630121, 1.0169980866952275
167.31403220396462, 0.000006284613708280137
171.38909942682207, 0.000004262168825535965
172.74745516777452, 1.1471901654982433
175.46416664967947, 0.0000030393501853983605
179.53923387253693, 1.2919994706566595
179.87882280777504, 0.0000021260437136237734
185.312245771585, 0.0000015716177966920101
186.33101257729933, 1.4550879900998
191.42484660587112, 0.000001169104330904579
193.12279128206174, 1.64657399997007
197.87703637539542, 9.179949432746855e-7
199.91456998682415, 1.8691750208945952
204.66881508015783, 7.698966796570985e-7
206.70634869158656, 2.0851952907042404
211.46059378492023, 6.436472032189543e-7
213.4981273963489, 2.2787403159731014
218.25237248968259, 5.398089044599148e-7
220.2899061011113, 2.4823683121063076
225.044151194445, 4.747696735595989e-7
227.08168480587372, 2.708482041945423
231.8359298992074, 4.3513420984208614e-7
233.87346351063613, 2.955191997804833
238.6277086039698, 3.981760443815929e-7
240.66524221539854, 3.2294889485217615
245.41948730873222, 3.6493488969295366e-7
247.45702092016094, 3.51807574295033
252.21126601349462, 3.349993801455353e-7
254.24879962492335, 3.844618806615648
259.003044718257, 3.065461759603833e-7
261.0405783296857, 4.194817080551819
265.79482342301935, 2.8095460911929996e-7
267.83235703444814, 4.5769141817155194
272.5866021277818, 2.5749951744816335e-7
274.6241357392105, 4.985906753955325
279.37838083254417, 2.363769022070974e-7
281.41591444397295, 5.337570034845652
286.17015953730663, 2.1630020755700467e-7
288.2076931487353, 5.704987037129338
292.961938242069, 1.9950355104178228e-7
294.99947185349777, 6.107368099976561
299.75371694683145, 1.8903683018411753e-7
301.7912505582601, 6.517436565626954
306.5454956515938, 1.8054439782044428e-7
308.58302926302247, 6.988188420030712
313.33727435635615, 1.7161550831921925e-7
315.37480796778493, 7.457398013454241
320.1290530611186, 1.6364613886590456e-7
322.1665866725473, 7.983379180317433
326.92083176588096, 1.55552958967357e-7
328.95836537730975, 8.546458566612575
333.7126104706434, 1.4832949174281397e-7
335.7501440820721, 9.134762638725292
340.5043891754058, 1.409938022529547e-7
342.54192278683456, 9.763563213402959
347.29616788016824, 1.3444642368684407e-7
349.3337014915969, 10.386144033887323
354.0879465849306, 1.2800004644562251e-7
356.12548019635926, 11.030926243175303
360.87972528969294, 1.2186275722918126e-7
362.9172589011217, 11.678656975479837
367.6715039944554, 1.1601973602257425e-7
369.7090376058841, 12.403679680884009
