H3,H
1.210134726084051, 663.6990632318498
1.4978098230163044, 671.1088992974237
1.8538714884943435, 682.2236533957844
2.2945766832608223, 692.4121779859483
2.84004699788569, 702.6007025761128
3.5151873585401927, 711.8629976580796
4.350823128927004, 722.9777517564403
5.385107525838226, 732.2400468384076
6.665263607714449, 741.5023419203749
8.249740371415802, 748.9121779859488
10.271552531576656, 753.6462399167317
12.842007049465051, 766.5105386416863
13.330361296403792, 3777.2710122300286
15.642606968615658, 775.7728337236535
16.65641169769885, 3705.2309393702835
19.338265227624536, 782.4622690606298
20.80617898633454, 3649.3998829039815
23.9637640667336, 791.5187353629976
26.660390758887612, 3598.3028883684624
29.66046708844363, 798.0023419203744
32.56120937717081, 3546.356850117096
36.71139915477235, 803.559718969555
42.282790534603286, 3487.309718969555
45.708476624605446, 812.3074421025244
51.405889761851554, 3440.0058548009365
56.24019766460344, 822.0843091334896
63.91762197710578, 3383.1088992974237
69.60970435334062, 830.4203747072597
79.58228771733187, 3321.3602654176425
86.1574308301048, 832.2728337236535
97.91889650102118, 3255.2892271662763
106.63890841375265, 840.6088992974237
121.19632787726468, 3167.7605386416863
131.98927449567378, 843.3875878220142
150.0073062075434, 3076.526932084309
163.3659687728725, 848.9449648711943
185.6672748239664, 2991.776932084309
202.20157929554998, 853.5761124121777
229.80438628011865, 2920.9203747072597
250.26925115877532, 859.1334894613583
281.4168626877804, 2869.566094197242
309.39683947423805, 867.8812125943273
349.55601829405094, 2818.1088992974237
383.40113639368326, 869.3220140515223
441.58681810294195, 2766.0084894613583
474.54384695195165, 875.8056206088995
536.4565389313175, 2731.274882903981
587.3531434938855, 877.6580796252929
667.5335036479674, 2690.2892271662763
726.9796403177869, 885.994145199063
830.6376120984917, 2650.2298009367682
899.7983637114573, 888.7728337236531
1026.2724851060086, 2614.338407494145
1113.6998210622469, 896.182669789227
1303.7857172240567, 2564.93950039032
1378.4502633656964, 903.592505854801
1604.667117228877, 2518.2420960187355
1706.1375898943884, 906.3711943793915
1989.3105053908707, 2461.6649102263855
2111.7232540136915, 913.7810304449645
2523.141123798408, 2388.0652885366
2613.7253689007657, 919.338407494145
3034.56202532246, 2276.0716725214675
3235.064202210633, 924.8957845433256
3599.103860346953, 2185.571330991413
4004.1086630406667, 931.3793911007028
4223.3939407045855, 2097.1935987509755
4955.971561393263, 941.5679156908664
4903.403786385227, 2003.688524590164
5753.933935724474, 1910.403981264637
6004.674377163062, 948.2830796252929
6897.5424090955485, 1820.3538901899556
7746.801543146754, 973.8830340879522
8268.445869683304, 1736.5429839968779
9656.790571928957, 985.2036169659118
10161.53709056315, 1653.632578714546
11881.818224469209, 1016.592505854801
12137.945944634603, 1558.6297326307572
14243.358720475466, 1470.2244340359093
14550.392452826298, 1074.5676121085962
16016.035956050726, 1375.3134758001565
16713.97026857095, 1262.8151834504292
16713.97026857095, 1156.2987900078065
