T,H
186.20666419595022, 643.9051918735895
199.01283649472725, 679.6369335167306
212.4288265220174, 710.3806620595562
225.8448165493076, 737.516708171336
239.26080657659782, 763.0841967044
252.67679660388796, 787.2399834166201
266.09278663117817, 810.7683470973541
279.5087766584683, 833.0418647151153
292.9247666857585, 855.3153823328769
306.34075671304873, 876.9614769191519
319.7567467403389, 898.6075715054271
333.17273676762903, 920.7242333653171
344.7592736093797, 938.6057897626747
360.49257100502, 963.796824476847
373.4207068494996, 986.6036516713721
386.83669687678986, 1009.661448078491
400.25268690408, 1033.8172347907112
413.66867693137016, 1058.443588776546
427.0846669586603, 1084.9522118568395
440.50065698595057, 1112.872536757977
453.9166470132407, 1142.9888422693164
467.33263704053087, 1175.9285514223438
480.74862706782113, 1213.1033660379035
492.9449816380849, 1251.0973162779032
503.3118830228091, 1288.8646970898665
512.4591489505069, 1328.0562285923459
520.3867794211785, 1368.5212794623064
527.0947744348236, 1411.369043987554
532.5831339914423, 1454.5043774022329
536.8518580910345, 1498.2148485957741
540.5107644621137, 1540.7750442315905
542.9500353761664, 1583.9103776462694
544.7794885617061, 1632.2219510707096
546.2023965949033, 1682.8340756105993
547.4220320519298, 1739.7727157179752
548.6416675089563, 1906.5626715880667
548.4383949327853, 1859.9765115002133
548.4383949327853, 1822.017418095296
548.4383949327853, 1790.9599780367275
549.0482126612983, 2455.2441126227804
549.0482126612983, 2417.2850192178635
549.0482126612983, 2379.325925812946
549.0482126612983, 2341.3668324080286
549.0482126612983, 2303.407739003111
549.0482126612983, 2265.448645598194
549.0482126612983, 2227.4895521932767
549.0482126612983, 2189.5304587883593
549.0482126612983, 2151.571365383442
549.0482126612983, 2113.6122719785244
549.0482126612983, 2075.6531785736074
549.0482126612983, 2037.69408516869
549.0482126612983, 1999.7349917637725
549.0482126612983, 1961.7758983588553
174.62686567164178, 599.6621621621625
168.65671641791045, 565.8783783783783
167.16417910447763, 527.8716216216217
167.16417910447763, 363.17567567567585
165.6716417910448, 299.83108108108127
162.6865671641791, 253.37837837837833
149.25373134328356, 202.70270270270248
101.49253731343282, 109.79729729729706
79.10447761194035, 92.90540540540542
65.6716417910448, 80.23648648648668
59.70149253731341, 67.5675675675675
53.73134328358208, 46.452702702702936
53.73134328358208, 29.560810810810835
128.35820895522386, 147.80405405405418
156.71641791044777, 228.0405405405404
167.16417910447763, 460.3040540540542
549.0482126612983, 5055.2441126227804
